Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Euro area,EMU,343698622,346922366,347094588,348627172,349670802,..
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,908458970.5,925088545.5,925075848,925385334.5,924969865,..
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,240230296.5,250655325.5,252183790,250834021.5,249146208,..
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,454002756.5,463913014.5,463790894,461440170.5,459025452,..
"Population, total",SP.POP.TOTL,European Union,EUU,444550397,447653554,446564156,447847220,448804042,..
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,892657785,996691242,1018693078,1038158122,1058789534,..
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,735429414,847743308,870930036,893906294,917304254,..
"Population, total",SP.POP.TOTL,High income,HIC,1360842914,1389524835,1387107942,1393036569,1400465513,..
"Population, total",SP.POP.TOTL,IBRD only,IBD,4677114235,4879367453,4905899020,4928694202,4952574126,..
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6281302513.5,6667541078.5,6733337540,6795222291.5,6858957145,..
"Population, total",SP.POP.TOTL,IDA blend,IDB,541987714,597524859,609556583,621500917,633230238,..
"Population, total",SP.POP.TOTL,IDA only,IDX,1062200564.5,1190648766.5,1217881937,1245027172.5,1273152781,..
"Population, total",SP.POP.TOTL,IDA total,IDA,1604188278.5,1788173625.5,1827438520,1866528089.5,1906383019,..
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2256211694.5,2316785459.5,2320366261,2324072105.5,2326658047,..
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,618806527,645497618,649234475,653104771,657611624,..
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,555893183,583125825,586944219,590730587,594995068,..
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,603091701,630051021,633862610,637837815,642397939,..
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,962508256,1083636132,1109175268,1134585604,1160824674,..
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6050054834.5,6438169877.5,6505838578,6568731933.5,6633109634,..
"Population, total",SP.POP.TOTL,Low income,LIC,592175402,679560744,698215206,716865783,736466395,..
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2763351401.5,2966396716.5,3004162907,3041203716.5,3079778780,..
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,443111159,482334398,488100624,498070255,508311359,..
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,384230039,418461302,424980589,432229148,440118189,..
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,379959947,413658033,420057840,427185536,434952414,..
"Population, total",SP.POP.TOTL,Middle income,MIC,5457879432.5,5758609133.5,5807623372,5851866150.5,5896643239,..
"Population, total",SP.POP.TOTL,North America,NAC,356506956,369619953,370353489,372275216,375077354,..
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1331189869,1370013876,1371769252,1378506989,1385723403,..
"Population, total",SP.POP.TOTL,Other small states,OSS,13091061,13884095,14040798,14217718,14411921,..
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2445989,2595522,2625493,2656049,2689224,..
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1097599410,1117765361,1117015201,1117561802,1119236161,..
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,870587800,998624261,1024960313,1051201551,1078224044,..
"Population, total",SP.POP.TOTL,Small states,SST,18501574,19572194,19777900,20005272,20253539,..
"Population, total",SP.POP.TOTL,South Asia,SAS,1788492725,1895144142,1914263569,1932289074,1951539835,..
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1788492725,1895144142,1914263569,1932289074,1951539835,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1025251114,1169015451,1199011925,1229208573,1259902353,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1025157695,1168916989,1198912667,1229088695,1259782580,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1025251114,1169015451,1199011925,1229208573,1259902353,..
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2694528031,2792212417,2803460465,2810662434,2816864459,..
"Population, total",SP.POP.TOTL,World,WLD,7441471720.5,7856138789.5,7921184346,7989981519.5,8061876001,..
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,
